series,pcgs_id,name,designation
Jefferson Nickel (1938 to Date),407253,2009-P,FS
Jefferson Nickel (1938 to Date),407257,2009-D,FS
Jefferson Nickel (1938 to Date),418783,2010-P,FS
Jefferson Nickel (1938 to Date),418785,2010-D,MS
Jefferson Nickel (1938 to Date),418786,2010-D,FS
Jefferson Nickel (1938 to Date),505066,2011-P,FS
Jefferson Nickel (1938 to Date),505067,2011-D,MS
Jefferson Nickel (1938 to Date),505068,2011-D,FS
Jefferson Nickel (1938 to Date),511549,2012-P,FS
Jefferson Nickel (1938 to Date),511552,2012-D,FS
Jefferson Nickel (1938 to Date),517628,2013-P,MS
Jefferson Nickel (1938 to Date),517629,2013-P,FS
Jefferson Nickel (1938 to Date),517630,2013-D,MS
Jefferson Nickel (1938 to Date),517631,2013-D,FS
Jefferson Nickel (1938 to Date),524441,2014-P,FS
Jefferson Nickel (1938 to Date),524442,2014-D,MS
Jefferson Nickel (1938 to Date),524443,2014-D,FS
Jefferson Nickel (1938 to Date),542995,2015-P,MS
Jefferson Nickel (1938 to Date),542996,2015-P,FS
Jefferson Nickel (1938 to Date),542989,2015-D,MS
Jefferson Nickel (1938 to Date),542990,2015-D,FS
Jefferson Nickel (1938 to Date),606618,2016-P,MS
Jefferson Nickel (1938 to Date),606619,2016-P,FS
Jefferson Nickel (1938 to Date),606620,2016-D,MS
Jefferson Nickel (1938 to Date),606621,2016-D,FS
Jefferson Nickel (1938 to Date),628135,2017-P,MS
Jefferson Nickel (1938 to Date),627480,2017-P,FS
Jefferson Nickel (1938 to Date),628145,2017-D,MS
Jefferson Nickel (1938 to Date),627234,2017-D,FS
Jefferson Nickel (1938 to Date),819732,2017-D,FS PL
Jefferson Nickel (1938 to Date),675695,2018-P,MS
Jefferson Nickel (1938 to Date),675696,2018-P,FS
Jefferson Nickel (1938 to Date),675697,2018-D,MS
Jefferson Nickel (1938 to Date),675698,2018-D,FS
Jefferson Nickel (1938 to Date),743688,2019-P,MS
Jefferson Nickel (1938 to Date),743689,2019-P,FS
Jefferson Nickel (1938 to Date),715602,2019-D,MS
Jefferson Nickel (1938 to Date),677355,2019-D,FS
Jefferson Nickel (1938 to Date),737006,2019-D Explore & Discover Set First Strike,FS PL
Jefferson Nickel (1938 to Date),735681,2019-D Explore & Discover Set First Day of Issue,FS PL
Jefferson Nickel (1938 to Date),810712,2020-P,FS
Jefferson Nickel (1938 to Date),810714,2020-D,FS
Jefferson Nickel (1938 to Date),852838,2021-P,FS
Jefferson Nickel (1938 to Date),852841,2021-D,FS
Jefferson Nickel (1938 to Date),922249,2023-P,MS
Jefferson Nickel (1938 to Date),898588,2022-P,FS
Jefferson Nickel (1938 to Date),922251,2023-P,FS
Jefferson Nickel (1938 to Date),922253,2023-D,MS
Jefferson Nickel (1938 to Date),898587,2022-D,FS
Jefferson Nickel (1938 to Date),922255,2023-D,FS
