series,pcgs_id,name,designation
Lincoln Cent (Modern) (1959 to Date),3092,1991,RD
Lincoln Cent (Modern) (1959 to Date),3095,1991-D,RD
Lincoln Cent (Modern) (1959 to Date),3098,1992,RD
Lincoln Cent (Modern) (1959 to Date),412708,1992 Close AM,BN
Lincoln Cent (Modern) (1959 to Date),412709,1992 Close AM,RB
Lincoln Cent (Modern) (1959 to Date),412710,1992 Close AM,RD
Lincoln Cent (Modern) (1959 to Date),3101,1992-D,RD
Lincoln Cent (Modern) (1959 to Date),83099,"1992-D Close AM About 15 Known",BN
Lincoln Cent (Modern) (1959 to Date),83100,1992-D Close AM,RB
Lincoln Cent (Modern) (1959 to Date),83101,1992-D Close AM,RD
Lincoln Cent (Modern) (1959 to Date),3107,1993,RD
Lincoln Cent (Modern) (1959 to Date),3109,1993-D,RD
Lincoln Cent (Modern) (1959 to Date),38096,1994,RB
Lincoln Cent (Modern) (1959 to Date),3115,1994,RD
Lincoln Cent (Modern) (1959 to Date),3117,1994-D,RB
Lincoln Cent (Modern) (1959 to Date),3118,1994-D,RD
Lincoln Cent (Modern) (1959 to Date),3133,1995,RD
Lincoln Cent (Modern) (1959 to Date),3125,1995 Doubled Die Obverse,BN
Lincoln Cent (Modern) (1959 to Date),3126,1995 Doubled Die Obverse,RB
Lincoln Cent (Modern) (1959 to Date),3127,1995 Doubled Die Obverse,RD
Lincoln Cent (Modern) (1959 to Date),3128,1995-D,BN
Lincoln Cent (Modern) (1959 to Date),3129,1995-D,RB
Lincoln Cent (Modern) (1959 to Date),3130,1995-D,RD
Lincoln Cent (Modern) (1959 to Date),3136,1996,RD
Lincoln Cent (Modern) (1959 to Date),3139,1996-D,RD
Lincoln Cent (Modern) (1959 to Date),3143,1997,BN
Lincoln Cent (Modern) (1959 to Date),3144,1997,RB
Lincoln Cent (Modern) (1959 to Date),3145,1997,RD
Lincoln Cent (Modern) (1959 to Date),3142,1997-D,RD
Lincoln Cent (Modern) (1959 to Date),83142,1997-D,"RD PL"
Lincoln Cent (Modern) (1959 to Date),38124,1998,BN
Lincoln Cent (Modern) (1959 to Date),3147,1998,RB
Lincoln Cent (Modern) (1959 to Date),3148,1998,RD
Lincoln Cent (Modern) (1959 to Date),83146,1998 Wide AM,BN
Lincoln Cent (Modern) (1959 to Date),83147,1998 Wide AM,RB
Lincoln Cent (Modern) (1959 to Date),83148,1998 Wide AM,RD
Lincoln Cent (Modern) (1959 to Date),147828,1998 Wide AM FS-901,RD
Lincoln Cent (Modern) (1959 to Date),3151,1998-D,RD
Lincoln Cent (Modern) (1959 to Date),777328,1998-D,"RD PL"
Lincoln Cent (Modern) (1959 to Date),3152,1999,BN
Lincoln Cent (Modern) (1959 to Date),3153,1999,RB
Lincoln Cent (Modern) (1959 to Date),3154,1999,RD
Lincoln Cent (Modern) (1959 to Date),38125,1999-D,BN
Lincoln Cent (Modern) (1959 to Date),3157,1999-D,RD
Lincoln Cent (Modern) (1959 to Date),38127,2000,BN
Lincoln Cent (Modern) (1959 to Date),38128,2000,RB
Lincoln Cent (Modern) (1959 to Date),3160,2000,RD
Lincoln Cent (Modern) (1959 to Date),3163,2000-D,RD
Lincoln Cent (Modern) (1959 to Date),3166,2001,RD
Lincoln Cent (Modern) (1959 to Date),3169,2001-D,RD
Lincoln Cent (Modern) (1959 to Date),3172,2002,RD
Lincoln Cent (Modern) (1959 to Date),3175,2002-D,RD
Lincoln Cent (Modern) (1959 to Date),3178,2003,RD
Lincoln Cent (Modern) (1959 to Date),3181,2003-D,RD
Lincoln Cent (Modern) (1959 to Date),3184,2004,RD
Lincoln Cent (Modern) (1959 to Date),569380,2004 DDR FS-801,RB
Lincoln Cent (Modern) (1959 to Date),3187,2004-D,RD
Lincoln Cent (Modern) (1959 to Date),3190,2005,RD
Lincoln Cent (Modern) (1959 to Date),3193,2005-D,RD
Lincoln Cent (Modern) (1959 to Date),93196,2006,RD
Lincoln Cent (Modern) (1959 to Date),569383,2006 DDO FS-101,RB
Lincoln Cent (Modern) (1959 to Date),93199,2006-D,RD
Lincoln Cent (Modern) (1959 to Date),149538,2007,RD
